num_iteracoes,best_fitness,melhor_acuraria,melhor_precision,melhor_recall,melhor_f1score,melhor_curva_roc,num_atributos,melhores_atributos,tempo_ineracao
0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],112752.61892032623
1,0.025653564749137367,0.979709637769556,0.9682360213502197,0.9700932796917214,0.9691608787547175,0.9700932796917214,38,"[18, 54, 61, 46, 2, 67, 58, 38, 34, 11, 57, 8, 12, 35, 49, 41, 64, 15, 22, 45, 20, 43, 66, 63, 33, 42, 68, 21, 56, 44, 10, 62, 60, 37, 39, 14, 16, 7]",112752.61892032623
2,0.02510201134473739,0.9838733346569818,0.9646371910032903,0.98875815303092,0.9760698394246518,0.98875815303092,39,"[63, 58, 61, 31, 38, 18, 50, 39, 6, 12, 36, 35, 34, 11, 57, 8, 41, 64, 22, 15, 66, 45, 32, 68, 20, 33, 44, 56, 67, 21, 10, 55, 62, 37, 14, 60, 16, 42, 40]",112752.61892032623
3,0.025152791653015757,0.9858636688399525,0.9733360950666589,0.9843612843718107,0.978720956638437,0.9843612843718107,39,"[61, 14, 50, 38, 58, 31, 54, 12, 35, 8, 34, 11, 57, 15, 18, 41, 64, 45, 22, 20, 43, 66, 33, 46, 68, 21, 56, 67, 44, 10, 62, 37, 60, 32, 55, 53, 42, 19, 51]",112752.61892032623
9,0.02459559554327127,0.9887429408395049,0.9750722950482494,0.9918278588904872,0.9831561736701321,0.9918278588904872,40,"[61, 12, 38, 58, 31, 26, 54, 35, 34, 11, 57, 18, 8, 41, 64, 15, 20, 22, 43, 66, 33, 56, 62, 67, 45, 44, 21, 68, 10, 60, 37, 16, 39, 32, 55, 65, 42, 19, 63, 40]",112752.61892032623
