num_iteracoes,best_fitness,melhor_acuraria,melhor_precision,melhor_recall,melhor_f1score,melhor_curva_roc,num_atributos,melhores_atributos,tempo_ineracao
0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],1758.5588
1,0.0245,0.9843,0.9656,0.9888,0.9766,0.9888,40,"[61, 31, 54, 58, 38, 34, 12, 11, 57, 8, 18, 64, 35, 22, 20, 43, 66, 67, 33, 56, 45, 44, 68, 21, 62, 10, 60, 37, 14, 16, 32, 52, 17, 59, 65, 29, 42, 63, 40, 30]",1758.5588
1, 0.0251,0.9846,0.9661,0.9893,0.9772,0.9893,39,"[45, 43, 58, 31, 63, 54, 1, 61, 38, 34, 11, 57, 8, 35, 18, 64, 10, 12, 41, 15, 22, 20, 66, 48, 33, 21, 44, 37, 67, 62, 60, 56, 14, 16, 17, 55, 42, 52, 30]",3326.9010
2,0.0258,0.9848,0.9666,0.9893,0.9774,0.9893,38,"[61, 20, 58, 31, 54, 38, 12, 34, 11, 57, 8, 41, 36, 18, 44, 16, 15, 35, 64, 22, 32, 43, 33, 56, 45, 67, 68, 30, 21, 62, 10, 60, 37, 14, 39, 55, 42, 63]",8005.4703
3,0.0251, 0.9848,0.9666,0.9893,0.9774,0.9893,39,"[61, 58, 38, 31, 54, 12, 44, 35, 15, 34, 11, 57, 22, 8, 18, 45, 64, 41, 68, 21, 20, 43, 66, 33, 56, 67, 14, 10, 62, 37, 39, 16, 55, 9, 65, 29, 19, 42, 17]",22136.0916
4,0.0252,0.9879,0.9733,0.9913,0.9819,0.9913,39,"[61, 58, 19, 12, 0, 38, 31, 54, 35, 15, 57, 56, 34, 68, 11, 8, 18, 16, 9, 64, 41, 22, 45, 43, 66, 10, 33, 67, 21, 44, 62, 60, 37, 14, 39, 42, 63, 17, 30]",26860.8669
