num_iteracoes,best_fitness,melhor_acuraria,melhor_precision,melhor_recall,melhor_f1score,melhor_curva_roc,num_atributos,melhores_atributos,tempo_ineracao
0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],5039.1475620269775
1,0.08119941234583664,0.897659503483224,0.9405326255218774,0.7537693706355606,0.8060567463798437,0.7537693706355606,11,"[21, 20, 11, 7, 10, 17, 9, 14, 13, 15, 5]",5039.1475620269775
2,0.08117220074918556,0.9789367410351778,0.9553235901682182,0.9844144985755416,0.9689303021877184,0.9844144985755416,12,"[14, 21, 18, 17, 7, 15, 10, 11, 20, 9, 12, 13]",5039.1475620269775
4,0.08121288791157588,0.979427428213605,0.9558347930589907,0.9854496204105396,0.9696705148428915,0.9854496204105396,12,"[7, 10, 21, 17, 14, 19, 13, 20, 9, 15, 12, 6]",5039.1475620269775
5,0.0812239192883439,0.9795604666174274,0.9560762182414905,0.985575650572477,0.9698624140974088,0.985575650572477,12,"[21, 12, 11, 14, 10, 7, 17, 13, 19, 9, 15, 16]",5039.1475620269775
6,0.0824358423816441,0.9941762591226277,0.987210205932656,0.9953319218657466,0.9912043055261508,0.9953319218657466,12,"[3, 21, 11, 7, 10, 17, 19, 13, 20, 9, 14, 15]",5039.1475620269775
