num_iteracoes,best_fitness,melhor_acuraria,melhor_precision,melhor_recall,melhor_f1score,melhor_curva_roc,num_atributos,melhores_atributos,tempo_ineracao
0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],9603.353862762451
1,0.08117371041134612,0.9789549475608341,0.9553990521216325,0.9843704672922863,0.9689539217001931,0.9843704672922863,12,"[21, 11, 20, 14, 7, 10, 12, 13, 15, 19, 9, 8]",9603.353862762451
2,0.08137685478123267,0.9814048686616659,0.9598456921754364,0.9867311481932461,0.9724972595052804,0.9867311481932461,12,"[13, 21, 11, 7, 17, 12, 14, 19, 20, 9, 8, 16]",9603.353862762451
17,0.0813850113238026,0.9815032365650593,0.9600839696040804,0.9867413670788752,0.9726355205446945,0.9867413670788752,12,"[21, 11, 14, 10, 7, 15, 20, 9, 13, 8, 6, 12]",9603.353862762451
22,0.07520926652748314,0.982609067181567,0.9623429768763806,0.9874810760713905,0.9742255432292433,0.9874810760713905,13,"[9, 21, 11, 2, 10, 14, 20, 7, 17, 19, 12, 13, 15]",9603.353862762451
35,0.08173153009429594,0.985682252937209,0.9684021048447005,0.9899749963508802,0.9786917990563708,0.9899749963508802,12,"[21, 0, 11, 10, 15, 7, 17, 20, 19, 9, 13, 6]",9603.353862762451
37,0.0758491169253059,0.9909687126291213,0.980147268680762,0.9930564283689506,0.986429856331618,0.9930564283689506,13,"[21, 0, 11, 10, 17, 13, 7, 18, 20, 19, 9, 8, 6]",9603.353862762451
